제품명,브랜드,카테고리,성분명
우리 아기 몸에 베이비 샴푸&바디 클랜저,㈜자연의 벗(Nature'sFriend),클렌저/워시,당근추출물;감초추출물;연꽃뿌리추출물;정제수;데실그루코사이드;코카미도프로필베타인;포트마리골드꽃추출물;오이열매추출물;글리세린;황금추출물;모란뿌리추출물;왕귤시추출물;왕귤추출물;씨솔트;잔탄검;판테놀;소듐피씨에이;시트릭애씨드;장미꽃오일;와일드제라늄오일;라벤더오일;4-터피네올
베이비 네이처 매지컬 인 샤워 에센스 오일,A24(에이이십사),오일,카놀라오일;잇꽃씨오일;쉐어버터오일;포도씨오일;참깨오일;호호바씨오일;달맞이꽃오일;알로에베라잎추출물;프로폴리스추출물;포트마리골드추출물;향료
베이비 네이처 에브리데이 모이스처라이징 로션,A24(에이이십사),로션,알로에베라잎즙;세테아릴알코올;C12-15알킬벤조에이트;코코-카프릴레이트/카프레이트;글리세릴스테아레이트;쉐어버터;참깨오일;포도씨오일;세테아릴글루코사이드;다이카프릴릴카보네이트;글리세린;아보카도오일;호호바씨오일;달맞이꽃오일;카렌둘라추출물;캐모마일꽃추출물;오이열매추출물;갈조추출물;잔탄검;녹차추출물;프로폴리스추출물;서양배추출물;카프릴하이드록사믹애씨드;카프릴릴글라이콜
베이비 네이처 탑투토 버블 워시,A24(에이이십사),클렌저/워시,알로에베라잎즙;코카미도프로필아민옥사이드;라우릴글루코사이드;글리세린;카프릴하이드록사믹애씨드;카프릴릴글라이콜;포트마리골드꽃추출물;캐모마일꽃추출물;녹차추출물;달맞이꽃오일;탄제린껍질오일;프로폴리스추출물
내추럴 베이비 징크 선 스크린,CPN(캘리포니아퓨어내추럴),선케어,징크옥사이드;호호바씨오일;로즈힙열매오일;잇꽃씨오일;비즈왁스;아르간커넬오일;쿠푸아쿠씨버터;쉐어버터;카카오씨버터;코코넛야자오일;덜굴월귤씨오일;토코페롤;타피오카전분;실리카
"베이비 젠틀 포밍 클렌저 for 헤어,바디",CPN(캘리포니아퓨어내추럴),클렌저/워시,알로에베라잎즙;정제수;글리세린;코코-글루코사이드;카프릴릴/카프릴글루코사이드;캐모마일꽃/잎/줄기추출물;포트마리골드꽃추출물;오이열매추출물;감초추출물;캐모마일꽃추출물;라우릴글루코사이드;데실글루코사이드;시트릭애씨드;씨솔트;구아검
오가닉 베이비 수딩 알로에 하이드레이터,CPN(캘리포니아퓨어내추럴),로션,알로에베라잎즙;글리세린;오이열매추출물;포트마리골드꽃추출물;로우스위트블루베리추출물;녹차추출물;캐모마일꽃/잎/줄기추출물;구아검
오가닉 베이비 크리미 밤,CPN(캘리포니아퓨어내추럴),크림/젤,잇꽃씨오일;비즈왁스;쿠푸아쿠씨버터;시어버터;카카오씨버터;코코넛야자오일;타피오카전분;올리브오일;호호바씨오일;캐모마일꽃오일;라즈베리씨오일;아마씨오일;보리지씨오일;로즈힙열매오일;구아검
Everyone Baby Calendula+Oat Lotion,EO(이오프로덕트),로션,정제수;글리세린;카프릴릭/카프릭트라이글리세라이드;스테아릴알코올;세틸팔미테이트;솔비탄팔미테이트;솔비탄올리베이트;세테아릴글루코사이드;올리브오일;참깨오일;세틸에스터;글리세릴스테아레이트;포트마리골드꽃추출물;귀리커넬추출물;쉐어버터오일;망고씨버터;카카오씨버터;하이드롤라이즈드쌀단백질;오트베타글루칸;글리세릴카프릴레이트;알로에베라잎;캐모마일꽃추출물;녹차추출물;토코페롤;스클레로튬검;잔탄검;소듐파이테이트;다이메티콘;시트릭애씨드;포타슘솔베이트;소듐레볼리네이트;오렌지껍질오일;팔마로사오일
에브리 원 솝 포 에브리 키즈[오렌지스퀴즈],EO(이오프로덕트),클렌저/워시,정제수;코카미도프로필하이드록시설테인;소듐코코-설페이트;카프릴릴/카프릴글루코사이드;소듐클로라이드;코코-글루코사이드;판테놀;오렌지껍질오일;향료;캐모마일꽃오일;알로베라잎추출물;캐모마일꽃추출물;포트마리골드꽃추출물;녹차추출물;시트릭애씨드;소듐파이테이트;페녹시에탄올;벤질알코올;포타슘솔베이트;토코페롤
베이비 인 더 가든 T케어크림,G.hands(지핸즈),크림/젤,정제수;밤부사 불가리스추출물;솔비탄올리베이트;비즈왁스;포트마리골드꽃오일;달맞이꽃오일;포도씨오일;올리브오일;글리세린;아이소프로필미리스테이트;p-아니식애씨드;세틸알코올;레불리닉애씨드;글리세릴카프릴레이트;향료
베이비 인 더 가든 보습오일,G.hands(지핸즈),오일,포도씨오일;해바라기씨오일;녹차씨오일;아보카도오일;스위트아몬드오일;달맞이꽃오일;포트마리골드꽃오일;아이소프로필미리스테이트;글리세릴카프릴레이트;향료
Kids Goat Bamboo Wipes,GOAT(더고트스킨케어),물티슈,정제수;코카미도프로필피지-다이모늄클로라이드포스페이트;산양유가루;알로에베라겔;토코페릴아세테이트;벤조익애씨드
마미 투 비 럭셔리웅스 퍼밍 바디 오일,IWLT(아이더블유엘티),오일,올리브오일;잇꽃씨오일;해바라기씨오일;동백나무씨오일;마카다미아넛오일;베르가모트오일;센티드제라늄꽃오일;일랑일랑꽃오일;오렌지오일;왕귤껍질오일;라벤더오일;아틀라스시다나무껍질오일;다마스크장미꽃오일;커먼자스민오일;마텔오일;쓴쑥추출물;장미꽃오일;바닐라열매추출물;갈바눔수지오일;토코페릴아세테이트;발삼코파이바수지
에코 물티슈,LG생활건강(엘지생활건강),물티슈,정제수;알로에추출물;향료;데하이드로아세틱애씨드;세틸피리디늄클로라이드;헥실렌글라이콜
베이비 모이스처라이징 크림,QV(큐브이),크림/젤,정제수;미네랄오일;글리세린;페트롤라툼;세테아릴알코올;다이메티콘;스테아릭애씨드;스쿠알란;글리세릴스테아레이트에스이;세테아레스-20;라우레스-3;글리세릴스테아레이트;메틸파라벤;다이클로로벤질알코올
퓨어 베이비 마일드 로션,SNP(에스엔피),로션,"정제수;글리세린;식물성스쿠알란;세테아릴알코올;오일팜오일;오일팜커넬오일;올리브오일;베르가모토오일;스타아니스추출물;아르간커넬오일;호호바씨오일;알로에베라잎즙;하이드롤라이즈드콜라겐;알란토인;베타-글루칸;스페인감초뿌리추출물;라벤더수;로즈마리추출물;녹차추출물;소듐스테아로일글루타메이트;세테아릴글루코사이드;1,2-헥산다이올;카프릴릴글라이콜;부틸렌글라이콜;벤질알코올;데하이드로아세틱애씨드"
