,"제품 이름",제품사진,,,,,,,,,,,,,,,,,,,,
,"DRYER SHEETS 라벤더향",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,브랜드or판매원,"Better Life",,,,,,,,,,,,,,,,,,,,
,제조사,"BETTER LIFE",,,,,,,,,,,,,,,,,,,,
,카테고리,섬유유연제,,,,,,,,,,,,,,,,,,,,
,성분공개,O,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,자가검사번호,,,,,,,,,,,,,,,,,,,,,
,"기타 허가 인증 여부",,,,,,,,,,,,,,,,,,,,,
,"친환경 인증여부",,,,,,,,,,,,,,,,,,,,,
,"해외 인증 여부",,,,,"No data -> X",,,,,,,,,,,,,,,,
,,,,,,"No-> N, Some->S, Moderate->M, High->H",,,,"Recognized -> R, Suspected -> S",,,,"해당시 ""1"" 로표시",,,,,,,,
,16,17,,,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,
,,,,,,"독성별 주의도",,,,"Score Card",,,,,,,,,,,,
고유번호,성분명(국문),영문명,CAS번호,배합용도,EWG등급,천식/호흡,피부자극,발달/생식,발암,천식/호흡,피부자극,발달/생식,발암,국내유해,"D S L",EPA,SLS/SLES,4급암모늄,향료,색소/형광,가습기,비고
112,"Dihydrogenated palmoylethyl hydroxyethylmonium methosulfate",,,,,,,,,,,,,,,,,,,,,
742,글리세릴팔미테이트/스테아레이트,"Glyceryl Palmitate/Stearate",68002-71-1,"피부컨디셔닝제(유연제), 계면활성제(유화제)",,,,,,,,,,,,,,,,,,
20,"Lavendula angustifolia",,,,,,,,,,,,,,,,,,,,,
389,"Lavandula hybrida oil",,,,,,,,,,,,,,,,,,,,,
251,"Citrus paradisi oil",,,,,,,,,,,,,,,,,,,,,
489,"Citrus aurantium bergamia oil",,,,,,,,,,,,,,,,,,,,,
